trainingId,trainingName,domainName,domainId,duration,startDate
1,Multi-layered asynchronous monitoring,DataEngineering,1,8,2024-12-27
2,Digitized cohesive installation,FullStack,2,1,2025-06-11
3,Open-architected incremental service-desk,DevOps,3,18,2024-12-26
4,Phased didactic synergy,DataEngineering,1,7,2024-12-27
5,Reactive object-oriented time-frame,DevOps,3,9,2025-04-23
6,Re-engineered interactive encryption,DevOps,3,10,2025-06-10
7,Devolved coherent installation,DataScience,4,2,2025-03-04
8,Reverse-engineered empowering software,DataScience,4,3,2025-06-20
9,Devolved clear-thinking hardware,DataScience,4,20,2025-09-25
10,Business-focused mission-critical workforce,DataScience,4,2,2025-08-28
11,Intuitive coherent definition,DataScience,4,16,2024-12-11
12,Diverse user-facing paradigm,FullStack,2,7,2025-06-20
13,Vision-oriented stable orchestration,DataEngineering,1,6,2025-05-19
14,Assimilated discrete adapter,DataEngineering,1,8,2024-10-12
15,Customizable content-based orchestration,DataEngineering,1,19,2024-12-09
16,Streamlined content-based artificial intelligence,DataEngineering,1,18,2024-11-27
17,Mandatory motivating hierarchy,DataScience,4,11,2024-11-05
18,Fully-configurable client-server help-desk,DevOps,3,1,2025-05-02
19,Quality-focused explicit toolset,DevOps,3,15,2025-05-04
20,Total 6th generation internet solution,DevOps,3,2,2024-10-26
21,Future-proofed upward-trending methodology,DataEngineering,1,11,2024-12-06
22,Total tangible functionalities,FullStack,2,7,2025-03-10
23,Function-based 5th generation utilisation,DataEngineering,1,19,2025-05-06
24,Face to face hybrid workforce,FullStack,2,11,2025-07-12
25,Reactive methodical protocol,DataScience,4,5,2024-12-09
26,Upgradable analyzing emulation,SoftSkills,5,14,2025-06-23
27,Adaptive attitude-oriented intranet,FullStack,2,9,2024-10-11
28,Function-based executive hub,DataEngineering,1,20,2025-02-22
29,Versatile foreground architecture,SoftSkills,5,4,2024-11-12
30,Configurable high-level neural-net,DevOps,3,10,2024-12-29
31,Open-source bottom-line benchmark,DevOps,3,1,2025-04-03
32,Front-line next generation Graphical User Interface,SoftSkills,5,20,2025-09-22
33,Horizontal real-time standardization,FullStack,2,8,2025-07-18
34,Multi-lateral 24 hour orchestration,DataEngineering,1,3,2024-10-31
35,Persevering asynchronous strategy,DataEngineering,1,12,2025-09-02
36,Seamless multi-state alliance,FullStack,2,17,2025-03-29
37,Devolved contextually-based intranet,SoftSkills,5,17,2025-05-26
38,Fundamental regional extranet,SoftSkills,5,17,2024-12-04
39,Realigned systematic info-mediaries,DevOps,3,13,2025-09-28
40,Profound background matrices,DataEngineering,1,6,2025-08-11
41,Optional client-driven firmware,DataEngineering,1,1,2025-08-14
42,Visionary incremental encoding,DataScience,4,12,2025-07-26
43,Persistent actuating forecast,DataEngineering,1,9,2025-01-19
44,Managed attitude-oriented analyzer,FullStack,2,8,2025-02-23
45,Multi-tiered 4th generation hierarchy,SoftSkills,5,16,2024-12-18
46,Down-sized non-volatile implementation,DevOps,3,7,2025-04-19
47,Profit-focused multi-state definition,DevOps,3,5,2025-08-16
48,Cross-platform directional analyzer,SoftSkills,5,8,2025-09-06
49,Implemented dynamic time-frame,SoftSkills,5,3,2024-11-04
50,Multi-channelled zero tolerance intranet,DataEngineering,1,6,2025-08-19
51,Monitored didactic knowledge user,DevOps,3,2,2025-05-02
52,Object-based even-keeled neural-net,DataEngineering,1,1,2025-03-01
53,Public-key coherent local area network,SoftSkills,5,15,2025-08-31
54,Fundamental global algorithm,DataEngineering,1,3,2025-08-11
55,Quality-focused directional archive,FullStack,2,5,2024-10-30
56,Right-sized multi-state firmware,DataEngineering,1,6,2025-09-11
57,Extended background adapter,DataEngineering,1,18,2025-09-28
58,Function-based 24 hour focus group,DataEngineering,1,11,2025-04-01
59,Re-contextualized object-oriented info-mediaries,DevOps,3,1,2025-09-26
60,Quality-focused directional policy,DataEngineering,1,7,2025-04-08
61,Assimilated disintermediate analyzer,DataScience,4,19,2025-01-19
62,Synergistic 6th generation data-warehouse,DevOps,3,10,2025-04-18
63,Synchronised dynamic architecture,DataScience,4,7,2024-11-23
64,Public-key client-driven website,DevOps,3,4,2025-07-05
65,Enhanced executive migration,DataEngineering,1,16,2025-08-31
66,Phased optimizing service-desk,DevOps,3,18,2024-11-18
67,Expanded optimal database,DataScience,4,9,2025-05-23
68,Synchronised client-server challenge,FullStack,2,5,2024-12-15
69,Distributed attitude-oriented structure,FullStack,2,18,2024-11-08
70,Cross-group disintermediate orchestration,DataEngineering,1,19,2024-10-09
71,Horizontal attitude-oriented data-warehouse,DevOps,3,2,2025-02-13
72,Sharable object-oriented monitoring,DataScience,4,1,2025-04-30
73,Future-proofed discrete budgetary management,FullStack,2,9,2024-11-17
74,Persevering leading edge Graphical User Interface,SoftSkills,5,9,2025-01-18
75,Versatile 6th generation protocol,DataScience,4,10,2025-06-06
76,Focused systematic help-desk,DataEngineering,1,9,2025-01-08
77,Assimilated eco-centric structure,DevOps,3,17,2025-01-14
78,Total local knowledge user,SoftSkills,5,15,2025-03-03
79,Universal bottom-line matrix,DataEngineering,1,14,2025-01-28
80,Streamlined intermediate interface,DevOps,3,16,2025-04-07
81,Proactive heuristic middleware,DevOps,3,4,2025-01-07
82,Cross-platform methodical hierarchy,DataScience,4,10,2024-12-12
83,Automated responsive attitude,DevOps,3,10,2025-08-26
84,Quality-focused radical customer loyalty,FullStack,2,2,2025-06-22
85,Pre-emptive leading edge analyzer,DevOps,3,13,2025-04-29
86,Sharable zero administration alliance,FullStack,2,3,2025-02-16
87,Networked leading edge local area network,DataScience,4,14,2024-12-14
88,Sharable uniform collaboration,DevOps,3,13,2025-08-02
89,Polarised coherent moratorium,DevOps,3,9,2025-10-05
90,User-friendly exuding instruction set,SoftSkills,5,17,2025-01-25
91,Fundamental even-keeled hub,SoftSkills,5,13,2025-09-03
92,Cloned asynchronous internet solution,SoftSkills,5,7,2025-08-12
93,Operative system-worthy strategy,DataScience,4,7,2025-08-15
94,Implemented fresh-thinking throughput,FullStack,2,2,2025-01-17
95,Reactive web-enabled toolset,DataScience,4,2,2025-08-21
96,Profit-focused full-range productivity,FullStack,2,9,2025-03-27
97,Managed radical product,SoftSkills,5,3,2025-08-16
98,Automated multi-tasking complexity,DataEngineering,1,4,2025-08-05
99,Business-focused mission-critical matrices,DevOps,3,14,2024-12-07
100,Phased zero tolerance access,DataEngineering,1,2,2025-06-25
